Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.04017952292692E-08,6.88547954296048E-11,-0.00393182591263425,0,0,0,0.153366893342015,0.000134824007797941,-5.36407098097221E-12,1.08678826257515E-11,0.000134824070151333,1.47533667666662E-13,0.000267137850222388,0,0,0,0,0,0,package://aimira6/meshes/base_link.STL,0.690196078431373,0.690196078431373,0.690196078431373,1,0,0,0,0,0,0,package://aimira6/meshes/base_link.STL,,baselink-1,world_csys,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.000109828579629579,-0.000165175805369598,-0.019808653010817,0,0,0,0.314152170173888,7.64604482226176E-05,-3.11978712692391E-07,7.97142740238091E-09,8.61669728197303E-05,-6.45286703390183E-08,9.02262510469105E-05,0,0,0,0,0,0,package://aimira6/meshes/link1.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://aimira6/meshes/link1.STL,,link1-1,J1_csys,Base_1_z,joint1,revolute,0,0,0,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link2,-0.0301961591482603,0.244586379833867,-0.0007347839341934,0,0,0,0.777713706471678,0.00773190010450537,-7.71121525104686E-06,-6.02041690223417E-06,0.000271753322008837,-6.33071741169116E-07,0.0078708368316307,0,0,0,0,0,0,package://aimira6/meshes/link2.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://aimira6/meshes/link2.STL,,link2-1,J2_csys,2_z,joint2,revolute,0,0,0.0345,1.5708,0,0.051022,link1,-0.051,0,0.9987,0,0,0,0,,,,,,,,
link3,0.185192224022038,0.0311040596506036,0.000586519231663198,0,0,0,0.688903385722527,0.000213264577740228,-4.25096101453383E-05,-6.28896717935606E-07,0.00433913949748342,-6.71312866117713E-07,0.00441755349825434,0,0,0,0,0,0,package://aimira6/meshes/link3.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://aimira6/meshes/link3.STL,,link3-1,J3_csys,3_z,joint3,revolute,0,0.7,0,0,-0.051022,0,link2,0,0,1,0,0,0,0,,,,,,,,
link4,0.00740957421480504,-0.000315480442245499,-0.0466896418344882,0,0,0,0.334652497698763,7.79899479136191E-05,-3.033429159648E-07,-9.25838976256045E-06,0.000124172042266161,-1.89972976382329E-08,0.000126239646901981,0,0,0,0,0,0,package://aimira6/meshes/link4.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://aimira6/meshes/link4.STL,,link4-1,J4_csys,4_z,joint4,revolute,0.618,0.052,0,-1.5708,0,-1.5708,link3,0,0,1,0,0,0,0,,,,,,,,
link5,0.0141179016225014,-0.000144175611274444,0.0012823710617245,0,0,0,0.334352173137141,8.30386716577822E-05,1.24971203941448E-08,-8.2084074321369E-07,0.000137398625968353,-1.01136579011778E-08,0.000155218516612205,0,0,0,0,0,0,package://aimira6/meshes/link5.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://aimira6/meshes/link5.STL,,link5-1,J5_csys,5_z,joint5,revolute,0.052,0,0,1.5708,0,0,link4,0,0,1,0,0,0,0,,,,,,,,
link6,-0.000184041694461623,2.24702160746509E-06,-0.036732892773676,0,0,0,0.261928935910918,5.950273602425E-05,-1.24986654826041E-08,-1.01141758324E-08,6.01266926173309E-05,1.1572222134717E-09,7.73631381406489E-05,0,0,0,0,0,0,package://aimira6/meshes/link6.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://aimira6/meshes/link6.STL,,link6-1,J6_csys,6_z,joint6,revolute,0.1005,0,0,-1.5708,0,-1.5708,link5,0,0,1,0,0,0,0,,,,,,,,
